Image #,RobotX,RobotY,RobotZ,AmbX,AmbY,AmbZ,Distance,omega
1,0,0,0,2.107099,0.036731,0,2.107419124,0.019234821
2,0,0,0,0.926989,0.926989,0,1.310960416,0.069056922
3,0,0,0,2.202596,0.329905,0,2.227165564,0.093573173
4,1.182299,1.24361,0.039995,3.237919,0.474908,0,2.195011606,0.085961527
5,0.739539,-1.226917,0.039995,3.323899,1.658439,0,3.873731464,0.030187344
6,2.31604,0.430785,0.039995,3.323899,1.658439,0,1.588871835,-0.00283906
7,2.367108,0.494471,0.039995,3.323899,1.658439,0,1.507272412,0.03047935
8,2.366302,0.49619,0.04,1.742685,4.708162,0,4.258075421,-0.006985441
9,2.364466,0.497496,0.039995,1.907253,8.705338,0,8.220663819,-0.011012731
10,2.720197,1.631807,0.039995,2.412155,4.82558,0,3.20884332,-0.010391709
11,2.50673,3.18053,0.04,2.412155,4.82558,0,1.648251781,-0.051714409
12,6.286608,4.214994,0.04,3.803185,4.989982,0,2.601844768,-0.094834587
13,5.218558,4.289713,0.04,3.763336,4.472303,0,1.467177623,-0.061727056
14,7.12584,4.147694,0.04,3.763336,4.472303,0,3.378373004,-0.008804625
15,9.247847,3.983964,0.04,2.141964,5.491805,0,7.264210741,-0.017058169
16,9.245479,3.981995,0.039995,5.262354,3.529737,0,4.008917767,0.045398963
17,6.615894,5.084066,0.039995,5.262354,3.529737,0,2.061457924,-0.015304299
18,6.616094,5.079429,0.04,5.369159,3.699596,0,1.860211279,-0.019862756
19,6.616123,5.078114,0.039995,5.369159,3.699596,0,1.859255414,-0.010186533
20,6.220012,5.206561,0.04,5.29921,3.658482,0,1.80167281,0.102889955
21,9.460294,9.222018,0.04,5.29921,3.658482,0,6.947600512,0.005317086
22,5.904212,4.813798,0.04,5.29921,3.658482,0,1.3047538,0.156042352
23,5.453234,5.686716,0.04,4.811437,4.477692,0,1.369394911,0.079023752
24,5.453142,5.684896,0.039995,4.08532,2.988143,0,3.024072315,0.067840866
25,4.437978,4.375995,0.04,4.08532,2.988143,0,1.432515563,0.018256089
26,4.662925,4.918881,0.04,4.08532,2.988143,0,2.015682703,-0.012971825
27,4.663325,4.917296,0.039995,1.853405,2.207411,0,3.903937336,0.004850482
28,9.212779,9.109496,0.039995,-7.636953,-8.470717,0,24.35115926,0.002401265
29,-7.525824,9.040466,0.04,-7.63371,-9.245176,0,18.28600401,-0.00202015
30,-7.523345,9.040466,0.04,-6.406949,-6.897566,0,15.97713379,0.002312085
31,-3.680992,-1.074629,0.04,-4.165956,-2.316608,0,1.333904763,-0.267057213
32,-3.685762,-1.022274,0.039999,-4.165956,-2.316608,0,1.381117917,-0.249275613
33,-3.689045,-1.261193,0.040001,-4.165956,-2.316608,0,1.15885504,-0.378428797
34,-3.689356,-1.260483,0.039995,-3.800776,-2.232408,0,0.97910787,-0.015669924
