epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,314.629,1.12283,3.33909,0.01512,0.911,0.47503,0.57949,0.40162,1.13117,1.39672,0.018,0.00998833,0.00332944,0.00998833,0.00332944,0.00998833,0.00332944,0.00998833,0.00332944
2,514.466,1.16023,1.30635,0.01579,0.53666,0.58305,0.60251,0.42268,1.15963,1.2214,0.01837,0.0197904,0.00659682,0.0197904,0.00659682,0.0197904,0.00659682,0.0197904,0.00659682
3,687.996,1.23964,1.201,0.01711,0.55901,0.55797,0.57137,0.3712,1.38684,1.32526,0.02326,0.0293946,0.00979819,0.0293946,0.00979819,0.0293946,0.00979819,0.0293946,0.00979819
4,849.586,1.28888,1.21527,0.01802,0.60793,0.57198,0.59575,0.42024,1.24353,1.17156,0.02051,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1010.58,1.26957,1.13952,0.01728,0.82856,0.5314,0.63903,0.43441,1.24295,1.11618,0.02055,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1173.21,1.21205,1.03362,0.01642,0.69578,0.5899,0.64692,0.43743,1.24163,1.04755,0.01975,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1333.2,1.18862,0.98315,0.0158,0.64332,0.65908,0.65669,0.45262,1.21587,0.99023,0.01938,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1493.12,1.17178,0.97139,0.01562,0.68175,0.66522,0.67812,0.47622,1.17464,0.95206,0.01853,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1652.32,1.14601,0.92678,0.01519,0.67007,0.64475,0.66774,0.46652,1.18352,1.02624,0.019,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1800.43,1.12201,0.90246,0.01473,0.73043,0.67911,0.71949,0.50224,1.15966,0.87784,0.01797,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1948.08,1.10744,0.87425,0.01463,0.73225,0.70312,0.72751,0.50762,1.11504,0.88181,0.01731,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2096.01,1.08235,0.85754,0.01418,0.76701,0.69235,0.7347,0.51866,1.11254,0.82363,0.01742,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2253.01,1.06763,0.81743,0.01381,0.70239,0.71155,0.72542,0.51807,1.08949,0.87366,0.01662,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2412.64,1.0644,0.80566,0.01375,0.74712,0.71634,0.75408,0.53238,1.08699,0.82391,0.01643,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2563.85,1.0498,0.77774,0.01342,0.75879,0.71443,0.76093,0.54628,1.05257,0.81175,0.01585,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2711.55,1.03672,0.7572,0.01324,0.74105,0.71491,0.73711,0.52956,1.06502,0.80821,0.01642,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2859.73,1.0233,0.74852,0.01294,0.7854,0.74361,0.78242,0.55783,1.04022,0.76725,0.01561,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3007.87,1.0274,0.75091,0.01306,0.74874,0.74819,0.77086,0.55261,1.05083,0.78242,0.01586,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3156.3,0.99953,0.72314,0.01275,0.76757,0.74231,0.78286,0.55954,1.02452,0.75698,0.01527,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3304.3,0.99087,0.70315,0.0126,0.77499,0.75717,0.78632,0.56978,1.00507,0.74416,0.01521,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3452.02,0.98616,0.6962,0.01242,0.78694,0.76076,0.80508,0.57659,1.02152,0.71539,0.01531,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3600.34,0.98621,0.70107,0.01249,0.77964,0.72756,0.78972,0.56825,1.01633,0.75201,0.01507,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3748.46,0.96781,0.68061,0.01212,0.8108,0.78047,0.81472,0.59155,1.00338,0.68566,0.01505,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3895.51,0.95559,0.67203,0.01206,0.79082,0.76535,0.80361,0.59554,0.98765,0.72012,0.01467,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4042.9,0.96311,0.66096,0.01201,0.85625,0.73934,0.8255,0.60355,0.97169,0.69058,0.01417,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4190.96,0.96039,0.66094,0.01204,0.83803,0.78237,0.8392,0.61408,0.97211,0.6338,0.01435,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4339.24,0.93115,0.63845,0.01176,0.83491,0.77047,0.8184,0.60037,0.97728,0.685,0.01414,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4487.33,0.93498,0.63555,0.01176,0.82838,0.76706,0.81909,0.59815,0.96012,0.69259,0.01426,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4639.61,0.94156,0.63878,0.01176,0.79396,0.78617,0.82619,0.60497,0.95784,0.6676,0.01399,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4799.9,0.92771,0.62049,0.01159,0.81184,0.79789,0.84374,0.61789,0.95371,0.66199,0.01411,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4954.79,0.91986,0.61021,0.01144,0.86995,0.77611,0.84771,0.6222,0.94117,0.64569,0.01369,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5102.88,0.91124,0.61116,0.01126,0.84918,0.77622,0.84462,0.62744,0.92881,0.64241,0.0133,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5250.96,0.90894,0.59733,0.01133,0.8244,0.80795,0.8482,0.63554,0.93503,0.61653,0.01354,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5399.26,0.90891,0.5964,0.01107,0.81841,0.82643,0.84677,0.63037,0.93924,0.62299,0.01358,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5547.21,0.89329,0.58947,0.01109,0.84192,0.78337,0.84011,0.63237,0.91262,0.66154,0.01303,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5694.5,0.8856,0.5865,0.01099,0.82753,0.80732,0.84707,0.63429,0.92167,0.61916,0.01311,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5842.09,0.88864,0.57847,0.01088,0.88625,0.77484,0.85619,0.63659,0.92698,0.60403,0.01326,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5989.76,0.88756,0.57743,0.01081,0.82869,0.8154,0.85442,0.64354,0.9075,0.61347,0.01281,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6137.86,0.88056,0.56673,0.01083,0.86082,0.7941,0.85127,0.63959,0.91445,0.61331,0.01296,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6285.77,0.86427,0.5612,0.0106,0.87428,0.79795,0.86527,0.65727,0.8925,0.60853,0.01258,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6433.51,0.87202,0.56973,0.01056,0.84756,0.79676,0.84973,0.64225,0.89428,0.64367,0.0126,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6582.13,0.86397,0.56345,0.01055,0.88849,0.7957,0.86118,0.64736,0.90289,0.59436,0.01288,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6730.35,0.85661,0.54627,0.01054,0.84338,0.82603,0.86102,0.65074,0.90122,0.58742,0.01292,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6878.8,0.84397,0.53643,0.01024,0.88198,0.79566,0.86773,0.66109,0.88458,0.59767,0.01245,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7026.86,0.84676,0.54957,0.01027,0.88643,0.79039,0.87037,0.65692,0.8904,0.59849,0.01258,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7174.68,0.83831,0.53165,0.01019,0.87803,0.81179,0.87352,0.65907,0.89045,0.58972,0.01253,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7322.98,0.8361,0.52697,0.01014,0.84542,0.83226,0.87192,0.66619,0.89356,0.58128,0.01269,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7471.84,0.83329,0.52076,0.01012,0.85445,0.83442,0.87313,0.67202,0.87782,0.5765,0.01244,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7619.59,0.82885,0.51337,0.01005,0.86874,0.81714,0.87213,0.66711,0.8774,0.58964,0.01235,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7767.23,0.82297,0.51137,0.0101,0.87176,0.82032,0.8721,0.66786,0.8804,0.5719,0.01249,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7915.93,0.82109,0.51088,0.01,0.86102,0.81496,0.86686,0.66465,0.88101,0.56648,0.01251,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8064.29,0.81445,0.49777,0.0099,0.85627,0.82659,0.87329,0.67048,0.88429,0.57031,0.01245,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8212.39,0.81379,0.50424,0.00988,0.88387,0.82438,0.87539,0.67302,0.88082,0.56103,0.01234,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
