epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5071,1.31389,4.30919,0.01397,0.86568,0.70107,0.83428,0.52217,1.27368,1.76718,0.01647,0.00066416,0.00066416,0.00066416
2,106.688,1.32268,1.7782,0.01407,0.81263,0.81028,0.8661,0.51896,1.36693,0.78451,0.0179,0.00131765,0.00131765,0.00131765
3,144.748,1.36221,1.24945,0.0145,0.88644,0.79004,0.89015,0.53672,1.32486,0.81032,0.01724,0.00195794,0.00195794,0.00195794
4,182.607,1.33734,1.07408,0.01398,0.87358,0.80961,0.88558,0.53973,1.42285,0.7859,0.01929,0.0019406,0.0019406,0.0019406
5,220.244,1.31122,0.97573,0.01393,0.93731,0.8247,0.91588,0.5712,1.30886,0.59906,0.01702,0.0019208,0.0019208,0.0019208
6,258.021,1.30302,0.92021,0.0136,0.8736,0.80605,0.89198,0.55444,1.27128,0.70285,0.01656,0.001901,0.001901,0.001901
7,295.904,1.26744,0.8726,0.01318,0.9139,0.86882,0.92817,0.60097,1.24024,0.55141,0.01536,0.0018812,0.0018812,0.0018812
8,333.904,1.26371,0.83296,0.01306,0.89137,0.89502,0.92613,0.60947,1.23157,0.55102,0.01582,0.0018614,0.0018614,0.0018614
9,370.74,1.25271,0.8075,0.01281,0.94149,0.88612,0.94554,0.64258,1.15562,0.48095,0.01454,0.0018416,0.0018416,0.0018416
10,407.696,1.22194,0.763,0.0125,0.9286,0.90251,0.95037,0.62844,1.20191,0.50138,0.01522,0.0018218,0.0018218,0.0018218
11,444.391,1.18322,0.73985,0.01218,0.93031,0.89146,0.95022,0.64884,1.14339,0.45113,0.01493,0.001802,0.001802,0.001802
12,481.149,1.20232,0.74094,0.01225,0.93589,0.89502,0.94593,0.62859,1.18106,0.49916,0.01462,0.0017822,0.0017822,0.0017822
13,517.852,1.17932,0.72991,0.01206,0.92106,0.89502,0.94836,0.64541,1.15833,0.47412,0.01423,0.0017624,0.0017624,0.0017624
14,554.594,1.15432,0.6797,0.01171,0.95602,0.86655,0.95221,0.63036,1.17045,0.59905,0.01554,0.0017426,0.0017426,0.0017426
15,591.437,1.14856,0.69748,0.01158,0.92766,0.8968,0.94443,0.63795,1.15832,0.48798,0.01469,0.0017228,0.0017228,0.0017228
16,628.007,1.13412,0.67183,0.01164,0.93619,0.91373,0.95472,0.64973,1.12509,0.46866,0.01379,0.001703,0.001703,0.001703
17,664.828,1.13945,0.64581,0.01152,0.93427,0.91052,0.94788,0.64367,1.12383,0.49077,0.01477,0.0016832,0.0016832,0.0016832
18,701.646,1.12675,0.64873,0.01163,0.93152,0.89858,0.95067,0.65881,1.11825,0.46848,0.01443,0.0016634,0.0016634,0.0016634
19,738.483,1.10887,0.62717,0.01108,0.95583,0.88572,0.94576,0.66133,1.08675,0.50206,0.01316,0.0016436,0.0016436,0.0016436
20,775.307,1.11345,0.6248,0.011,0.94594,0.8879,0.95403,0.67064,1.13782,0.47718,0.01437,0.0016238,0.0016238,0.0016238
21,812.282,1.08154,0.59427,0.01082,0.95592,0.88745,0.9549,0.66297,1.14216,0.44904,0.0143,0.001604,0.001604,0.001604
22,849.075,1.06745,0.58983,0.01059,0.92722,0.90675,0.95287,0.66057,1.12565,0.4795,0.01429,0.0015842,0.0015842,0.0015842
23,885.908,1.05913,0.59862,0.01054,0.98304,0.8879,0.96086,0.66823,1.09882,0.44734,0.01422,0.0015644,0.0015644,0.0015644
24,1357.11,1.05313,0.57111,0.01055,0.93516,0.92382,0.96172,0.67138,1.09649,0.43599,0.01426,0.0015446,0.0015446,0.0015446
25,19620.1,1.05618,0.58648,0.01044,0.94066,0.93076,0.96806,0.67312,1.0886,0.41461,0.0133,0.0015248,0.0015248,0.0015248
26,19658.2,1.03897,0.56115,0.01023,0.92857,0.92528,0.96466,0.67341,1.11171,0.43338,0.0137,0.001505,0.001505,0.001505
27,19694.4,1.03078,0.53252,0.01014,0.94084,0.90558,0.95204,0.67783,1.08866,0.43082,0.01316,0.0014852,0.0014852,0.0014852
28,19730.5,1.02285,0.55702,0.01019,0.93256,0.92705,0.96426,0.66883,1.05429,0.4302,0.01315,0.0014654,0.0014654,0.0014654
29,19766.9,1.01163,0.54198,0.01001,0.94647,0.90569,0.95479,0.66817,1.08289,0.50277,0.01378,0.0014456,0.0014456,0.0014456
30,19803.4,1.02531,0.53158,0.00998,0.94684,0.91906,0.96994,0.68563,1.08975,0.37446,0.01331,0.0014258,0.0014258,0.0014258
31,19839.5,0.9925,0.52525,0.00966,0.96157,0.91637,0.95979,0.6874,1.04004,0.3977,0.01231,0.001406,0.001406,0.001406
32,19876,0.98915,0.52545,0.00979,0.96208,0.90288,0.95667,0.6672,1.07742,0.43059,0.01334,0.0013862,0.0013862,0.0013862
33,19912.5,0.98275,0.50454,0.00961,0.93634,0.91602,0.96084,0.67863,1.06599,0.41597,0.01281,0.0013664,0.0013664,0.0013664
34,19949.6,0.9714,0.51864,0.0095,0.96399,0.90509,0.9673,0.68255,1.06521,0.43557,0.01327,0.0013466,0.0013466,0.0013466
35,19985.8,0.97582,0.50892,0.00954,0.95283,0.91281,0.96687,0.67234,1.04995,0.3915,0.01255,0.0013268,0.0013268,0.0013268
36,20023.6,0.96913,0.49909,0.00931,0.9585,0.90411,0.97265,0.68951,1.0448,0.4129,0.01311,0.001307,0.001307,0.001307
37,20061.5,0.94637,0.48981,0.00916,0.96052,0.90908,0.96041,0.68242,1.07487,0.39134,0.01334,0.0012872,0.0012872,0.0012872
38,20101,0.9385,0.49361,0.00919,0.94696,0.92132,0.96757,0.67522,1.08497,0.41028,0.01342,0.0012674,0.0012674,0.0012674
39,20141.6,0.94339,0.49767,0.00934,0.96399,0.92349,0.97274,0.67752,1.05873,0.39623,0.0128,0.0012476,0.0012476,0.0012476
40,20183.2,0.91486,0.4727,0.009,0.96268,0.91787,0.96675,0.69297,1.04604,0.39162,0.0127,0.0012278,0.0012278,0.0012278
41,20225.5,0.9101,0.45628,0.00886,0.95911,0.91281,0.96291,0.69055,1.05623,0.4212,0.01267,0.001208,0.001208,0.001208
42,20270.1,0.90873,0.47737,0.00874,0.93336,0.91459,0.95841,0.68507,1.04482,0.43925,0.01257,0.0011882,0.0011882,0.0011882
43,20315.2,0.91028,0.45784,0.0087,0.95929,0.91103,0.96572,0.68462,1.06629,0.4187,0.01307,0.0011684,0.0011684,0.0011684
44,20361.5,0.9078,0.46326,0.00877,0.97353,0.91993,0.96578,0.69379,1.04089,0.41367,0.01278,0.0011486,0.0011486,0.0011486
45,20409.3,0.88483,0.44511,0.00854,0.95778,0.91103,0.96363,0.69365,1.07613,0.43984,0.01326,0.0011288,0.0011288,0.0011288
46,20455.6,0.88121,0.43995,0.00857,0.95195,0.91647,0.96653,0.70054,1.01658,0.4148,0.01212,0.001109,0.001109,0.001109
47,20503,0.87118,0.43117,0.00841,0.94695,0.92171,0.966,0.68635,1.04567,0.40043,0.01287,0.0010892,0.0010892,0.0010892
48,20548.5,0.87367,0.42402,0.00844,0.96079,0.92527,0.97415,0.70279,1.04463,0.43052,0.0131,0.0010694,0.0010694,0.0010694
49,20594.7,0.8668,0.40859,0.00813,0.97174,0.91761,0.97222,0.70766,1.0353,0.41334,0.01303,0.0010496,0.0010496,0.0010496
50,20641.3,0.85976,0.42291,0.00828,0.94283,0.9395,0.96895,0.70043,1.05136,0.39968,0.01302,0.0010298,0.0010298,0.0010298
51,20688.7,0.85236,0.41627,0.00806,0.96651,0.92428,0.97274,0.70252,1.04461,0.41732,0.01292,0.00101,0.00101,0.00101
52,20736.3,0.83775,0.41802,0.00806,0.96099,0.92052,0.96648,0.69694,1.03851,0.43457,0.01265,0.0009902,0.0009902,0.0009902
53,20784.1,0.84112,0.42028,0.00814,0.95716,0.93416,0.97109,0.69627,1.01396,0.39927,0.01213,0.0009704,0.0009704,0.0009704
54,20832.5,0.83304,0.40426,0.00794,0.95938,0.92455,0.97238,0.69446,1.04149,0.43161,0.01263,0.0009506,0.0009506,0.0009506
55,20880.6,0.83398,0.39544,0.00799,0.9771,0.91815,0.9743,0.70911,1.01675,0.40215,0.01249,0.0009308,0.0009308,0.0009308
56,20928.5,0.81402,0.40064,0.00794,0.96308,0.94128,0.97804,0.70153,1.01997,0.36743,0.01267,0.000911,0.000911,0.000911
57,20976.4,0.80904,0.40804,0.00775,0.96673,0.93067,0.97595,0.70113,1.02589,0.39294,0.01242,0.0008912,0.0008912,0.0008912
58,21024.3,0.80312,0.38836,0.00766,0.95541,0.92527,0.96833,0.70558,1.02652,0.39414,0.01247,0.0008714,0.0008714,0.0008714
59,21072.4,0.79612,0.38738,0.00744,0.95955,0.92867,0.97071,0.70889,1.02145,0.39953,0.01268,0.0008516,0.0008516,0.0008516
60,21121,0.79956,0.3802,0.00766,0.97531,0.91372,0.96483,0.68699,1.04183,0.39769,0.01262,0.0008318,0.0008318,0.0008318
61,21169.5,0.79698,0.38514,0.00757,0.9721,0.92883,0.96986,0.7087,1.03927,0.36792,0.01285,0.000812,0.000812,0.000812
62,21219.1,0.77644,0.37261,0.00744,0.97352,0.92349,0.97206,0.71151,1.01287,0.38685,0.01231,0.0007922,0.0007922,0.0007922
63,21268,0.77567,0.3746,0.00742,0.97005,0.9306,0.96921,0.70375,0.99919,0.43473,0.01202,0.0007724,0.0007724,0.0007724
64,21314.7,0.77614,0.38605,0.00728,0.98103,0.92016,0.97146,0.69767,1.00468,0.38971,0.01212,0.0007526,0.0007526,0.0007526
65,21351.4,0.75099,0.35478,0.00714,0.97175,0.91637,0.9701,0.70486,0.99033,0.38292,0.01188,0.0007328,0.0007328,0.0007328
66,21387.8,0.76043,0.35545,0.00706,0.97704,0.90875,0.96345,0.70061,1.02619,0.39536,0.01258,0.000713,0.000713,0.000713
67,21424,0.75552,0.35367,0.00706,0.96798,0.91437,0.9648,0.69936,1.03843,0.38961,0.01301,0.0006932,0.0006932,0.0006932
68,21460.7,0.73699,0.34926,0.00689,0.95976,0.92527,0.96684,0.71058,1.02751,0.40358,0.01266,0.0006734,0.0006734,0.0006734
69,21498.6,0.73553,0.3497,0.0069,0.97377,0.92465,0.97407,0.71238,1.02019,0.38205,0.01247,0.0006536,0.0006536,0.0006536
