epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,178.031,1.1327,1.84166,0.01309,0.47415,0.48855,0.44289,0.27795,1.22434,1.7804,0.01845,0.000891022,0.000891022,0.000891022
22,185.839,1.11705,1.78862,0.01292,0.52166,0.49783,0.50093,0.33183,1.16293,1.6492,0.01705,0.000880023,0.000880023,0.000880023
23,193.356,1.07582,1.72192,0.0126,0.64357,0.45753,0.52989,0.33305,1.24233,1.59478,0.01755,0.000869024,0.000869024,0.000869024
24,201.272,1.16122,1.74862,0.01355,0.47791,0.54012,0.52932,0.33507,1.21895,1.57277,0.01744,0.000858025,0.000858025,0.000858025
25,209.205,1.07896,1.67598,0.01254,0.54063,0.42406,0.45749,0.27949,1.29404,1.8202,0.01884,0.000847026,0.000847026,0.000847026
26,217.136,1.10623,1.59016,0.01278,0.52661,0.56757,0.55636,0.35652,1.22273,1.54572,0.01835,0.000836027,0.000836027,0.000836027
27,224.813,1.11242,1.55739,0.01257,0.49901,0.56893,0.51908,0.31712,1.21806,1.66211,0.01855,0.000825029,0.000825029,0.000825029
28,232.318,1.10458,1.47092,0.01296,0.55244,0.50797,0.52216,0.32685,1.17502,1.60751,0.0189,0.00081403,0.00081403,0.00081403
29,239.857,1.08535,1.51681,0.01242,0.67297,0.49672,0.58626,0.37536,1.22281,1.38186,0.01792,0.000803031,0.000803031,0.000803031
30,247.506,1.08488,1.49044,0.01228,0.59488,0.57903,0.62043,0.39764,1.2068,1.36594,0.01758,0.000792032,0.000792032,0.000792032
31,255.101,1.05317,1.36517,0.01277,0.60129,0.62332,0.60668,0.37303,1.23269,1.42648,0.01847,0.000781033,0.000781033,0.000781033
32,262.691,1.05827,1.37349,0.01236,0.58258,0.60543,0.59186,0.3769,1.22434,1.35178,0.01891,0.000770034,0.000770034,0.000770034
33,270.217,1.03692,1.30529,0.01197,0.62062,0.54606,0.55725,0.3686,1.0859,1.4669,0.01609,0.000759035,0.000759035,0.000759035
34,277.786,0.9944,1.30447,0.01147,0.54295,0.64737,0.62772,0.41525,1.16284,1.35132,0.01772,0.000748036,0.000748036,0.000748036
35,285.267,1.02065,1.32145,0.01164,0.68118,0.57026,0.66935,0.43925,1.19029,1.30927,0.01784,0.000737037,0.000737037,0.000737037
