epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,211.972,1.01885,2.61278,0.01478,0.85517,0.83149,0.90007,0.65668,1.02948,0.69378,0.02253,0.00998227,0.00332742,0.00998227,0.00332742,0.00998227,0.00332742,0.00998227,0.00332742
2,337.265,1.06151,1.05783,0.01568,0.92356,0.77162,0.87275,0.60879,1.09423,0.82751,0.02568,0.0197844,0.00659482,0.0197844,0.00659482,0.0197844,0.00659482,0.0197844,0.00659482
3,446.526,1.14543,1.00807,0.01738,0.80203,0.81818,0.86001,0.56404,1.27996,0.82697,0.03024,0.0293886,0.00979621,0.0293886,0.00979621,0.0293886,0.00979621,0.0293886,0.00979621
4,546.675,1.1854,1.01787,0.01779,0.88221,0.76053,0.86545,0.59214,1.2124,0.78849,0.02922,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,647.174,1.16108,0.96113,0.01727,0.88996,0.77109,0.85858,0.64763,1.03851,0.85313,0.02287,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,748.039,1.11824,0.90785,0.01671,0.86665,0.84035,0.89667,0.6611,0.99277,0.70882,0.0229,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,848.339,1.10467,0.87433,0.01602,0.90794,0.81818,0.89711,0.68406,0.93415,0.62273,0.02087,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,948.277,1.07311,0.82909,0.01574,0.89368,0.83814,0.91713,0.71763,0.86144,0.61415,0.01896,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1048.7,1.0668,0.81833,0.01523,0.8952,0.87125,0.92493,0.68986,0.95052,0.57564,0.02126,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1149.11,1.04439,0.77185,0.0149,0.91672,0.83592,0.92383,0.73182,0.84169,0.56516,0.01876,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1250.32,1.01538,0.7511,0.01443,0.91212,0.8515,0.92468,0.74083,0.81513,0.54441,0.01718,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1353.29,1.00032,0.72878,0.01402,0.91225,0.85809,0.9261,0.74597,0.80276,0.538,0.01665,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
